Product Name;Product Price;Product Old Price;Product Discount;Product Rating;Product Reviews;Product Link;Product Image
Plaid en Velours avec 2 coussins - 2 places -Plaid polaire;49.90 TND;85.00 TND;41%;3.9;10;https://jumia.com.tn/sans-marque-plaid-en-velours-avec-2-coussins-2-places-plaid-polaire-650349.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/3056/1.jpg?6566
Tapis de prière - Tapis Ramadhan - Sajada velour 135 x 85cm- Marron;38.52 TND;45.00 TND;14%;4.5;4;https://jumia.com.tn/sans-marque-tapis-de-priere-tapis-ramadhan-sajada-velour-135-x-85cm-marron-723529.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/5327/1.jpg?6668
Tapis de prière - Tapis Ramadhan - Sajada velour 135 x 85cm- Bleu;38.52 TND;45.00 TND;14%;4.7;3;https://jumia.com.tn/sans-marque-tapis-de-priere-tapis-ramadhan-sajada-velour-135-x-85cm-bleu-723527.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/5327/1.jpg?6669
Linda Plaid en Velours  - 195x240cm - Plaid Polaire - Jeté en flanelle 2 Places;22.90 TND;49.00 TND;53%;5;1;https://jumia.com.tn/linda-plaid-en-velours-195x240cm-plaid-polaire-jete-en-flanelle-2-places-795608.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/6597/1.jpg?5070
Sotufab Tricycle scooter pour enfant;69.00 TND;79.00 TND;13%;;;https://jumia.com.tn/sotufab-tricycle-scooter-pour-enfant-822077.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/0228/1.jpg?9106
"Bicyclette Angel Enfant 20"" Rose - 5 ans à 10 ans";369.00 TND;449.00 TND;18%;;;https://jumia.com.tn/sans-marque-bicyclette-angel-enfant-20-rose-5-ans-a-10-ans-625209.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/2526/1.jpg?4454
Linda Plaid en Velours  2 Places - 195x240cm - Plaid Polaire - Jeté en flanelle;22.90 TND;49.00 TND;53%;5;1;https://jumia.com.tn/linda-plaid-en-velours-2-places-195x240cm-plaid-polaire-jete-en-flanelle-795611.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/6597/1.jpg?5069
Tapis de prière - Tapis Ramadhan - Sajada velour 135 x 85cm- Gris;38.52 TND;45.00 TND;14%;4.3;3;https://jumia.com.tn/sans-marque-tapis-de-priere-tapis-ramadhan-sajada-velour-135-x-85cm-gris-723526.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/5327/1.jpg?6669
Tapis de prière - Tapis Ramadhan - Sajada velour 135 x 85cm- Vert;38.52 TND;45.00 TND;14%;4.8;4;https://jumia.com.tn/sans-marque-tapis-de-priere-tapis-ramadhan-sajada-velour-135-x-85cm-vert-723528.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/5327/1.jpg?6668
Plaid en Velours  - 195x240cm - Plaid Polaire - Jeté en flanelle 2 Places;22.90 TND;49.00 TND;53%;5;1;https://jumia.com.tn/sans-marque-plaid-en-velours-195x240cm-plaid-polaire-jete-en-flanelle-2-places-795605.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/6597/1.jpg?5069
